Nome,Data,Estado,Apoiamentos
PBN - PARTIDO BRASIL NOVO,2024-07-21,MA,Total de aptos: 0
PBN - PARTIDO BRASIL NOVO,2024-07-21,MT,Total de aptos: 186
PBN - PARTIDO BRASIL NOVO,2024-07-21,MS,Total de aptos: 13
PBN - PARTIDO BRASIL NOVO,2024-07-21,MG,Total de aptos: 0
PBN - PARTIDO BRASIL NOVO,2024-07-21,PA,Total de aptos: 0
PBN - PARTIDO BRASIL NOVO,2024-07-21,PB,Total de aptos: 0
PBN - PARTIDO BRASIL NOVO,2024-07-21,PR,Total de aptos: 0
PBN - PARTIDO BRASIL NOVO,2024-07-21,PE,Total de aptos: 0
PBN - PARTIDO BRASIL NOVO,2024-07-21,PI,Total de aptos: 0
PBN - PARTIDO BRASIL NOVO,2024-07-21,RJ,Total de aptos: 0
PBN - PARTIDO BRASIL NOVO,2024-07-21,RN,Total de aptos: 0
PBN - PARTIDO BRASIL NOVO,2024-07-21,RS,Total de aptos: 0
PBN - PARTIDO BRASIL NOVO,2024-07-21,RO,Total de aptos: 365
PBN - PARTIDO BRASIL NOVO,2024-07-21,RR,Total de aptos: 342
PBN - PARTIDO BRASIL NOVO,2024-07-21,SC,Total de aptos: 0
PBN - PARTIDO BRASIL NOVO,2024-07-21,SP,Total de aptos: 0
PBN - PARTIDO BRASIL NOVO,2024-07-21,SE,Total de aptos: 67
PBN - PARTIDO BRASIL NOVO,2024-07-21,TO,Total de aptos: 8
PCP - PARTIDO CAPITALISTA POPULAR ,2024-07-21,AC,Total de aptos: 0
PCP - PARTIDO CAPITALISTA POPULAR ,2024-07-21,AL,Total de aptos: 0
PCP - PARTIDO CAPITALISTA POPULAR ,2024-07-21,AP,Total de aptos: 0
PCP - PARTIDO CAPITALISTA POPULAR ,2024-07-21,AM,Total de aptos: 0
PCP - PARTIDO CAPITALISTA POPULAR ,2024-07-21,BA,Total de aptos: 0
PCP - PARTIDO CAPITALISTA POPULAR ,2024-07-21,CE,Total de aptos: 0
PCP - PARTIDO CAPITALISTA POPULAR ,2024-07-21,DF,Total de aptos: 0
PCP - PARTIDO CAPITALISTA POPULAR ,2024-07-21,ES,Total de aptos: 0
PCP - PARTIDO CAPITALISTA POPULAR ,2024-07-21,GO,Total de aptos: 0
PCP - PARTIDO CAPITALISTA POPULAR ,2024-07-21,MA,Total de aptos: 0
PCP - PARTIDO CAPITALISTA POPULAR ,2024-07-21,MT,Total de aptos: 0
PCP - PARTIDO CAPITALISTA POPULAR ,2024-07-21,MS,Total de aptos: 0
PCP - PARTIDO CAPITALISTA POPULAR ,2024-07-21,MG,Total de aptos: 0
PCP - PARTIDO CAPITALISTA POPULAR ,2024-07-21,PA,Total de aptos: 0
PCP - PARTIDO CAPITALISTA POPULAR ,2024-07-21,PB,Total de aptos: 0
PCP - PARTIDO CAPITALISTA POPULAR ,2024-07-21,PR,Total de aptos: 0
PCP - PARTIDO CAPITALISTA POPULAR ,2024-07-21,PE,Total de aptos: 0
PCP - PARTIDO CAPITALISTA POPULAR ,2024-07-21,PI,Total de aptos: 0
PCP - PARTIDO CAPITALISTA POPULAR ,2024-07-21,RJ,Total de aptos: 0
PCP - PARTIDO CAPITALISTA POPULAR ,2024-07-21,RN,Total de aptos: 0
PCP - PARTIDO CAPITALISTA POPULAR ,2024-07-21,RS,Total de aptos: 0
PCP - PARTIDO CAPITALISTA POPULAR ,2024-07-21,RO,Total de aptos: 0
PCP - PARTIDO CAPITALISTA POPULAR ,2024-07-21,RR,Total de aptos: 0
PCP - PARTIDO CAPITALISTA POPULAR ,2024-07-21,SC,Total de aptos: 0
PCP - PARTIDO CAPITALISTA POPULAR ,2024-07-21,SP,Total de aptos: 0
PCP - PARTIDO CAPITALISTA POPULAR ,2024-07-21,SE,Total de aptos: 0
PCP - PARTIDO CAPITALISTA POPULAR ,2024-07-21,TO,Total de aptos: 0
CONSERVADOR  - PARTIDO CONSERVADOR BRASILEIRO ,2024-07-21,AC,Total de aptos: 0
CONSERVADOR  - PARTIDO CONSERVADOR BRASILEIRO ,2024-07-21,AL,Total de aptos: 0
CONSERVADOR  - PARTIDO CONSERVADOR BRASILEIRO ,2024-07-21,AP,Total de aptos: 0
CONSERVADOR  - PARTIDO CONSERVADOR BRASILEIRO ,2024-07-21,AM,Total de aptos: 0
CONSERVADOR  - PARTIDO CONSERVADOR BRASILEIRO ,2024-07-21,BA,Total de aptos: 0
CONSERVADOR  - PARTIDO CONSERVADOR BRASILEIRO ,2024-07-21,CE,Total de aptos: 0
CONSERVADOR  - PARTIDO CONSERVADOR BRASILEIRO ,2024-07-21,DF,Total de aptos: 0
CONSERVADOR  - PARTIDO CONSERVADOR BRASILEIRO ,2024-07-21,ES,Total de aptos: 0
CONSERVADOR  - PARTIDO CONSERVADOR BRASILEIRO ,2024-07-21,GO,Total de aptos: 5
CONSERVADOR  - PARTIDO CONSERVADOR BRASILEIRO ,2024-07-21,MA,Total de aptos: 0
CONSERVADOR  - PARTIDO CONSERVADOR BRASILEIRO ,2024-07-21,MT,Total de aptos: 0
CONSERVADOR  - PARTIDO CONSERVADOR BRASILEIRO ,2024-07-21,MS,Total de aptos: 0
CONSERVADOR  - PARTIDO CONSERVADOR BRASILEIRO ,2024-07-21,MG,Total de aptos: 0
CONSERVADOR  - PARTIDO CONSERVADOR BRASILEIRO ,2024-07-21,PA,Total de aptos: 0
CONSERVADOR  - PARTIDO CONSERVADOR BRASILEIRO ,2024-07-21,PB,Total de aptos: 22
CONSERVADOR  - PARTIDO CONSERVADOR BRASILEIRO ,2024-07-21,PR,Total de aptos: 0
CONSERVADOR  - PARTIDO CONSERVADOR BRASILEIRO ,2024-07-21,PE,Total de aptos: 0
CONSERVADOR  - PARTIDO CONSERVADOR BRASILEIRO ,2024-07-21,PI,Total de aptos: 0
CONSERVADOR  - PARTIDO CONSERVADOR BRASILEIRO ,2024-07-21,RJ,Total de aptos: 0
CONSERVADOR  - PARTIDO CONSERVADOR BRASILEIRO ,2024-07-21,RN,Total de aptos: 0
CONSERVADOR  - PARTIDO CONSERVADOR BRASILEIRO ,2024-07-21,RS,Total de aptos: 0
CONSERVADOR  - PARTIDO CONSERVADOR BRASILEIRO ,2024-07-21,RO,Total de aptos: 0
CONSERVADOR  - PARTIDO CONSERVADOR BRASILEIRO ,2024-07-21,RR,Total de aptos: 0
CONSERVADOR  - PARTIDO CONSERVADOR BRASILEIRO ,2024-07-21,SC,Total de aptos: 0
CONSERVADOR  - PARTIDO CONSERVADOR BRASILEIRO ,2024-07-21,SP,Total de aptos: 0
CONSERVADOR  - PARTIDO CONSERVADOR BRASILEIRO ,2024-07-21,SE,Total de aptos: 0
CONSERVADOR  - PARTIDO CONSERVADOR BRASILEIRO ,2024-07-21,TO,Total de aptos: 0
PSP - PARTIDO DA SEGURANÇA PRIVADA ,2024-07-21,AC,Total de aptos: 0
PSP - PARTIDO DA SEGURANÇA PRIVADA ,2024-07-21,AL,Total de aptos: 0
PSP - PARTIDO DA SEGURANÇA PRIVADA ,2024-07-21,AP,Total de aptos: 0
PSP - PARTIDO DA SEGURANÇA PRIVADA ,2024-07-21,AM,Total de aptos: 0
PSP - PARTIDO DA SEGURANÇA PRIVADA ,2024-07-21,BA,Total de aptos: 0
PSP - PARTIDO DA SEGURANÇA PRIVADA ,2024-07-21,CE,Total de aptos: 0
PSP - PARTIDO DA SEGURANÇA PRIVADA ,2024-07-21,DF,Total de aptos: 0
PSP - PARTIDO DA SEGURANÇA PRIVADA ,2024-07-21,ES,Total de aptos: 0
PSP - PARTIDO DA SEGURANÇA PRIVADA ,2024-07-21,GO,Total de aptos: 0
PSP - PARTIDO DA SEGURANÇA PRIVADA ,2024-07-21,MA,Total de aptos: 0
PSP - PARTIDO DA SEGURANÇA PRIVADA ,2024-07-21,MT,Total de aptos: 0
PSP - PARTIDO DA SEGURANÇA PRIVADA ,2024-07-21,MS,Total de aptos: 0
PSP - PARTIDO DA SEGURANÇA PRIVADA ,2024-07-21,MG,Total de aptos: 0
PSP - PARTIDO DA SEGURANÇA PRIVADA ,2024-07-21,PA,Total de aptos: 0
PSP - PARTIDO DA SEGURANÇA PRIVADA ,2024-07-21,PB,Total de aptos: 0
PSP - PARTIDO DA SEGURANÇA PRIVADA ,2024-07-21,PR,Total de aptos: 0
PSP - PARTIDO DA SEGURANÇA PRIVADA ,2024-07-21,PE,Total de aptos: 0
PSP - PARTIDO DA SEGURANÇA PRIVADA ,2024-07-21,PI,Total de aptos: 0
PSP - PARTIDO DA SEGURANÇA PRIVADA ,2024-07-21,RJ,Total de aptos: 0
PSP - PARTIDO DA SEGURANÇA PRIVADA ,2024-07-21,RN,Total de aptos: 0
PSP - PARTIDO DA SEGURANÇA PRIVADA ,2024-07-21,RS,Total de aptos: 0
PSP - PARTIDO DA SEGURANÇA PRIVADA ,2024-07-21,RO,Total de aptos: 0
PSP - PARTIDO DA SEGURANÇA PRIVADA ,2024-07-21,RR,Total de aptos: 60
PSP - PARTIDO DA SEGURANÇA PRIVADA ,2024-07-21,SC,Total de aptos: 0
PSP - PARTIDO DA SEGURANÇA PRIVADA ,2024-07-21,SP,Total de aptos: 0
PSP - PARTIDO DA SEGURANÇA PRIVADA ,2024-07-21,SE,Total de aptos: 0
PSP - PARTIDO DA SEGURANÇA PRIVADA ,2024-07-21,TO,Total de aptos: 0
PDS - PARTIDO DO DESENVOLVIMENTO SUSTENTÁVEL,2024-07-21,AC,Total de aptos: 0
PDS - PARTIDO DO DESENVOLVIMENTO SUSTENTÁVEL,2024-07-21,AL,Total de aptos: 0
PDS - PARTIDO DO DESENVOLVIMENTO SUSTENTÁVEL,2024-07-21,AP,Total de aptos: 0
